,,,,,,,,,,,,,,
Dumpster,Month,Year,Date,Weight (tons),Volume (cubic yards),Plastic Bottles,Polystyrene,Cigarette Butts,Glass Bottles,Grocery Bags,Chip Bags,Sports Balls,Homes Powered*,
112,December,2015,12/26/15,3.24,15,"2,370","3,240","24,000",42,"1,830","2,250",22,54,
113,December,2015,12/26/15,4.41,15,"2,530","3,300","41,000",47,"2,190","3,540",17,74,
114,December,2015,12/26/15,3.39,18,"2,720","3,690","23,000",22,"2,520","3,360",27,57,
115,December,2015,12/26/15,3.27,15,"2,250","3,180","37,000",63,"2,740","2,840",8,55,
,December Total,,,26.11,126,"17,460","23,140","230,000",360,"20,880","25,550",132,319,
116,January,2016,1/10/16,3.60,15,"3,240","4,160","28,000",54,"1,360","2,580",17,60,
,January Total,,,3.60,15,"3,240","4,160","28,000",54,"1,360","2,580",17,60,
117,February,2016,2/2/16,4.06,18,"3,530","4,620","24,000",62,"1,850","2,210",14,68,
118,February,2016,2/3/16,2.11,15,"2,340","3,870","31,000",46,"2,130","2,680",21,35,
119,February,2016,2/5/16,3.01,15,"2,460","3,640","27,000",38,"1,920","2,390",26,50,
120,February,2016,2/17/16,3.41,18,"1,340","1,680","24,000",22,"1,530","1,940",6,57,
121,February,2016,2/19/16,3.66,15,950,"1,120","21,000",32,"1,370","1,640",4,61,
122,February,2016,2/25/16,4.51,15,"2,240","3,150","36,000",46,"2,450","3,140",16,75,
,February Total,,,20.76,96,"12,860","18,080","163,000",246,"11,250","14,000",87,346,
123,March ,2016,3/1/16,2.89,18,"3,050","3,270","29,000",24,"1,740","2,250",24,48,
124,March,2016,3/11/16,2.89,15,"1,630","1,820","18,000",37,"2,150","2,390",23,48,
125,March,2016,3/12/16,2.51,15,"1,120","1,460","17,000",43,"2,270","2,490",18,42,
126,March,2016,3/15/16,3.58,18,"3,340","3,640","45,000",48,"3,450","3,740",46,60,
127,March,2016,3/29/16,3.41,15,"3,560","3,740","43,000",53,"3,320","3,570",38,57,
,March  Total,,,15.28,81,"12,700","13,930","152,000",205,"12,930","14,440",149,255,
128,April,2016,4/8/16,2.79,15,"2,460","3,150","38,000",46,"3,540","3,840",24,47,
129,April,2016,4/30/16,4.21,18,"3,860","4,240","47,000",18,"3,200","3,470",36,70,
130,April,2016,4/30/16,4.88,15,"3,230","3,640","52,000",27,"3,750","3,940",42,81,
131,April,2016,4/30/16,4.47,15,"3,760","4,150","45,000",40,"2,840","3,270",23,75,
132,April,2016,4/30/16,3.29,18,"3,640","3,520","52,000",33,"2,530","2,940",34,55,
,April Total,,,19.64,81,"16,950","18,700","234,000",164,"15,860","17,460",159,327,
133,May ,2016,5/7/16,4.16,15,"4,230","4,620","53,000",34,"2,727","3,360",38,69,
134,May,2016,5/12/16,2.93,15,"3,590","3,840","47,000",42,"1,760","2,640",26,49,
135,May ,2016,5/31/16,2.37,18,"3,740","4,120","56,000",65,"1,680","2,530",32,40,
,May  Total,,,9.46,48,"11,560","12,580","156,000",141,"6,167","8,530",96,158,
136,June,2016,6/15/16,2.57,15,"4,200","4,630","38,000",53,"1,480","1,760",43,43,
137,June,2016,6/16/16,2.39,15,"3,840","3,990","41,000",32,"1,540","2,030",38,40,
138,June,2016,6/21/16,3.98,15,4350,4120,45000,42,1630,2140,24,66,
139,June,2016,6/22/16,3.47,15,3960,3720,52000,38,1870,2200,35,58,
140,June,2016,6/24/16,3.97,18,4150,3970,48000,41,1530,1700,26,66,
141,June,2016,6/30/16,3.12,18,"4,450","4,310","58,000",43,"2,130","2,410",29,52,
,June Total,,,19.50,96,"24,950","24,740","282,000",249,"10,180","12,240",195,325,
142,July,2016,7/1/16,3.17,15,"3,460","3,820","43,000",38,"2,240","2,670",31,53,
143,July,2016,7/13/16,2.12,15,"2,850","3,120","52,000",53,"1,930","2,150",28,35,
144,July,2016,7/23/16,2.31,18,"3,560","3,780","65,000",33,"2,460","2,520",34,39,
145,July,2016,7/28/16,3.16,15,"4,130","4,360","52,000",54,"2,610","2,900",26,53,
146,July,2016,7/29/16,4.02,15,"4,350","4,600","55,000",34,"2,430","2,780",38,67,
147,July,2016,7/29/16,3.26,18,"4,420","4,850","65,000",48,"2,340","2,580",25,54,
148,July,2016,7/31/16,3.82,15,"2,130","2,240","35,000",45,"1,830","2,140",16,64,
149,July,2016,7/31/16,4.88,15,"2,450","2,500","32,000",33,"1,950","2,070",24,81,
,July Total,,,26.74,126,"27,350","29,270","399,000",338,"17,790","19,810",222,446,
150,August,2016,8/4/16,5.05,18,"2,300","2,260","16,000",28,"1,360","1,650",15,84,
151,August,2016,8/16/16,2.79,15,"2,850","3,120","34,000",42,"2,100","2,630",31,47,
152,August,2016,8/17/16,3.47,15,"2,640","2,900","38,000",37,"2,340","2,760",22,58,
153,August,2016,8/19/16,4.01,18,"3,250","3,570","42,000",56,"2,700","3,020",28,67,
154,August,2016,8/24/16,3.18,15,"2,530","2,740","52,000",38,"2,810","3,150",32,53,
,August Total,,,18.50,81,"13,570","14,590","182,000",201,"11,310","13,210",128,308,
155,September,2016,9/2/16,3.13,15,"2,780","2,640","38,000",21,"2,130","2,830",15,52,
156,September,2016,9/7/16,2.43,18,2740,3360,24000,32,2210,2490,28,41,
157,September,2016,9/19/16,3.08,15,2530,3460,21000,38,2300,2760,33,51,
,September Total,,,8.64,48,8050,9460,83000,91,6640,8080,76,144,
158,October,2016,10/9/16,2.9,15,1876,3990,27600,10,1240,1980,11,48,
159,October,2016,10/27/16,3,18,2340,3150,19000,46,2470,2810,37,50,
,October Total,,,5.9,33,4216,7140,46600,56,3710,4790,48,98,
160,November,2016,11/17/16,2.01,15,2244,4358,27000,64,3400,3700,22,34,
161,November,2016,11/29/16,1.98,15,2980,4460,36000,18,1880,1610,11,33,
162,November,2016,11/30/16,2.75,18,3460,5840,16000,42,3260,3430,34,46,
,November Total,,,6.74,48,8684,14658,79000,124,8540,8740,67,112,
163,December,2016,12/1/16,3.41,15,1840,4760,23000,43,3470,3800,6,57,
164,December,2016,12/6/16,2.55,15,1360,3850,34000,39,2340,4220,24,43,
165,December,2016,12/16/16,1.74,18,1880,2890,26000,59,2100,4040,20,29,
166,December,2016,1/2/17,2.13,15,"2,460",2740,32000,48,3250,4430,15,36,
,December Total,,,9.83,63,"7,540",14240,115000,189,11160,16490,65,164,
167,January,2017,1/19/17,2.43,15,"2,260",2780,28000,36,2870,3640,22,41,
,January Total,,,2.43,15,"2,260",2780,28000,36,2870,3640,22,41,
168,February,2017,2/26/17,2.32,18,2890,2460,30000,22,2610,3250,19,39,
169,February,2017,2/26/17,3.72,15,2140,1870,15000,23,2040,2450,12,62,
,February Total,,,6.04,33,5030,4330,45000,45,4650,5700,31,101,
170,March ,2017,3/30/17,2.14,15,2570,2930,23000,28,2650,2910,14,36,
171,March ,2017,3/31/17,2.74,18,2030,2340,14000,18,1960,2150,18,46,
172,March ,2017,3/31/17,2.63,15,1940,2170,12000,15,1820,1980,10,44,
173,March ,2017,3/31/17,2.09,15,1870,2040,11000,13,1950,2210,6,35,
,March  Total,,,9.6,63,8410,9480,60000,74,8380,9250,48,160,
174,April,2017,4/1/17,2.67,18,1920,2130,13000,21,2230,2590,8,45,
175,April,2017,4/1/17,2.67,18,1920,2130,13000,21,2230,2590,8,45,
176,April,2017,4/6/17,3.55,15,2230,2540,2000,16,1480,1670,5,59,
177,April,2017,4/6/17,3.89,18,980,1120,3000,14,1500,1730,3,65,
178,April,2017,4/6/17,3.59,15,650,720,2000,10,1140,1450,5,60,
179,April,2017,4/6/17,3.13,15,430,560,4000,9,870,990,7,52,
180,April,2017,4/6/17,3.33,18,390,460,2000,8,720,850,2,56,
181,April,2017,4/7/17,3.11,15,490,510,3000,11,1020,1110,7,52,
182,April,2017,4/7/17,3.04,15,210,340,2000,12,890,1040,3,51,
183,April,2017,4/7/17,3.21,18,560,670,2000,15,920,1080,4,54,
184,April,2017,4/7/17,4.08,15,470,560,3000,12,780,820,5,68,
185,April,2017,4/7/17,3.26,15,390,450,2000,8,830,990,8,54,
186,April,2017,4/8/17,3.36,18,460,620,1000,9,790,830,10,56,
187,April,2017,4/8/17,3.62,15,530,670,2000,13,1120,1340,5,60,
188,April,2017,4/8/17,4.27,15,460,530,1000,12,820,1030,7,71,
189,April,2017,4/8/17,4.01,18,340,510,2000,10,730,910,5,67,
190,April,2017,4/8/17,3.88,15,360,490,1000,15,820,950,8,65,
191,April,2017,4/21/17,4.67,15,2540,2330,12000,32,2450,2670,10,78,
,April Total,,,63.34,291,15330,17340,70000,248,21340,24640,110,"1,056",
